rail_id	cell_line	sra_attribute.disease	sra_attribute.ethnicity	sra_attribute.disease_stage	sra.experiment_attributes	primary_site
SRR8616000	HCC-2279	primary	Asian	carcinoma (adenocarcinoma)	age;;52|biomaterial_provider;;KCLB:HCC-2279|BioSampleModel;;Human|cell_line;;HCC-2279|disease;;carcinoma (adenocarcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;lung	lung
SRR8616001	HCC2218	primary	Caucasian	carcinoma (ductal_carcinoma)	age;;38|biomaterial_provider;;ATCC:HCC2218|BioSampleModel;;Human|cell_line;;HCC2218|disease;;carcinoma (ductal_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;breast	breast
SRR8616002	DMS 114	primary	Caucasian	carcinoma (small_cell_carcinoma)	age;;68|biomaterial_provider;;ATCC:DMS 114|BioSampleModel;;Human|cell_line;;DMS 114|disease;;carcinoma (small_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;lung	lung
SRR8616003	DMS 153	metastasis	Caucasian	carcinoma (small_cell_carcinoma)	age;;44|biomaterial_provider;;ATCC:DMS 153|BioSampleModel;;Human|cell_line;;DMS 153|disease;;carcinoma (small_cell_carcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;lung	lung
SRR8616004	DMS 273	metastasis	Caucasian	carcinoma (small_cell_carcinoma)	age;;50|biomaterial_provider;;ECACC:DMS 273|BioSampleModel;;Human|cell_line;;DMS 273|disease;;carcinoma (small_cell_carcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;lung	lung
SRR8616005	DMS 454	primary	Caucasian	carcinoma (small_cell_carcinoma)	age;;NA|biomaterial_provider;;ECACC:DMS 454|BioSampleModel;;Human|cell_line;;DMS 454|disease;;carcinoma (small_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;lung	lung
SRR8616006	DEL	metastasis	Caucasian	lymphoid_neoplasm	age;;12|biomaterial_provider;;DSMZ:DEL|BioSampleModel;;Human|cell_line;;DEL|disease;;lymphoid_neoplasm|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue
SRR8616007	Detroit 562	metastasis	Caucasian	carcinoma	age;;NA|biomaterial_provider;;ATCC:Detroit 562|BioSampleModel;;Human|cell_line;;Detroit 562|disease;;carcinoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;upper_aerodigestive_tract	upper_aerodigestive_tract
SRR8616008	DK-MG	primary	Caucasian	"glioma (astrocytoma_Grade_IV, glioblastoma_multiforme)"	"age;;67|biomaterial_provider;;DSMZ:DK-MG|BioSampleModel;;Human|cell_line;;DK-MG|disease;;glioma (astrocytoma_Grade_IV, glioblastoma_multiforme)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;central_nervous_system"	central_nervous_system
SRR8616009	DM-3	metastasis	Caucasian	mesothelioma	age;;62|biomaterial_provider;;DSMZ:DM-3|BioSampleModel;;Human|cell_line;;DM-3|disease;;mesothelioma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;pleura	pleura
SRR8616010	T3M-4	metastasis	Asian	carcinoma (ductal_carcinoma)	age;;64|biomaterial_provider;;RIKEN:T3M-4|BioSampleModel;;Human|cell_line;;T3M-4|disease;;carcinoma (ductal_carcinoma)|disease_stage;;metastasis|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;pancreas	pancreas
SRR8616011	SUIT-2	metastasis	Asian	carcinoma (ductal_carcinoma)	age;;73|biomaterial_provider;;HSSRB|BioSampleModel;;Human|cell_line;;SUIT-2|disease;;carcinoma (ductal_carcinoma)|disease_stage;;metastasis|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;pancreas	pancreas
SRR8616012	A-673	primary	Caucasian	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	age;;15|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;A-673|disease;;Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;bone	bone
SRR8616013	A-704	primary	African_american	carcinoma (renal_cell_carcinoma)	age;;78|biomaterial_provider;;GNF|BioSampleModel;;Human|cell_line;;A-704|disease;;carcinoma (renal_cell_carcinoma)|disease_stage;;primary|ethnicity;;African_american|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;kidney	kidney
SRR8616014	A427	NA	NA	NA	age;;NA|biomaterial_provider;;NA|BioSampleModel;;Human|cell_line;;A427|disease;;NA|disease_stage;;NA|ethnicity;;NA|isolate;;cell line|sample_type;;cell culture|sex;;NA|tissue;;lung	lung
SRR8616015	A-498	primary	Caucasian	carcinoma (renal_cell_carcinoma)	age;;52|biomaterial_provider;;NA|BioSampleModel;;Human|cell_line;;A-498|disease;;carcinoma (renal_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;kidney	kidney
SRR8616016	A4/Fuk	primary	Asian	lymphoid_neoplasm (diffuse_large_B_cell_lymphoma)	age;;52|biomaterial_provider;;JCRB:A4/Fuk|BioSampleModel;;Human|cell_line;;A4/Fuk|disease;;lymphoid_neoplasm (diffuse_large_B_cell_lymphoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue
SRR8616017	A549	primary	Caucasian	carcinoma (non_small_cell_carcinoma)	age;;58|biomaterial_provider;;ATCC:A549|BioSampleModel;;Human|cell_line;;A549|disease;;carcinoma (non_small_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;lung	lung
SRR8616018	A-253	primary	Caucasian	carcinoma (mucoepidermoid_carcinoma)	age;;54|biomaterial_provider;;ATCC:A-253|BioSampleModel;;Human|cell_line;;A-253|disease;;carcinoma (mucoepidermoid_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;salivary_gland	salivary_gland
SRR8616019	A2780	primary	African_american	carcinoma (adenocarcinoma)	age;;NA|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;A2780|disease;;carcinoma (adenocarcinoma)|disease_stage;;primary|ethnicity;;African_american|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;ovary	ovary
SRR8616020	A-375	primary	Caucasian	malignant_melanoma	age;;54|biomaterial_provider;;ATCC:A-375|BioSampleModel;;Human|cell_line;;A-375|disease;;malignant_melanoma|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;skin	skin
SRR8616021	A3/KAW	primary	Asian	lymphoid_neoplasm (diffuse_large_B_cell_lymphoma)	age;;NA|biomaterial_provider;;HSRRB|BioSampleModel;;Human|cell_line;;A3/KAW|disease;;lymphoid_neoplasm (diffuse_large_B_cell_lymphoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue
SRR8616022	SNU-81	primary	Asian	carcinoma	age;;53|biomaterial_provider;;KCLB:SNU-81|BioSampleModel;;Human|cell_line;;SNU-81|disease;;carcinoma|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;large_intestine	large_intestine
SRR8616023	SNU-761	primary	Asian	carcinoma (hepatocellular_carcinoma)	age;;49|biomaterial_provider;;KCLB:SNU-761|BioSampleModel;;Human|cell_line;;SNU-761|disease;;carcinoma (hepatocellular_carcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;liver	liver
SRR8616024	SNU-61	primary	Asian	carcinoma	age;;48|biomaterial_provider;;KCLB:SNU-61|BioSampleModel;;Human|cell_line;;SNU-61|disease;;carcinoma|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;large_intestine	large_intestine
SRR8616025	SNU-601	metastasis	Asian	carcinoma	age;;34|biomaterial_provider;;KCLB:SNU-601|BioSampleModel;;Human|cell_line;;SNU-601|disease;;carcinoma|disease_stage;;metastasis|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;stomach	stomach
SRR8616026	SNU-626	primary	Asian	"glioma (astrocytoma_Grade_IV, glioblastoma_multiforme)"	"age;;65|biomaterial_provider;;KCLB:SNU-626|BioSampleModel;;Human|cell_line;;SNU-626|disease;;glioma (astrocytoma_Grade_IV, glioblastoma_multiforme)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;central_nervous_system"	central_nervous_system
SRR8616027	SNU-620	metastasis	Asian	carcinoma	age;;59|biomaterial_provider;;KCLB:SNU-620|BioSampleModel;;Human|cell_line;;SNU-620|disease;;carcinoma|disease_stage;;metastasis|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;stomach	stomach
SRR8616028	RPMI 8226	primary	African_american	lymphoid_neoplasm (plasma_cell_myeloma)	age;;61|biomaterial_provider;;ATCC:RPMI 8226|BioSampleModel;;Human|cell_line;;RPMI 8226|disease;;lymphoid_neoplasm (plasma_cell_myeloma)|disease_stage;;primary|ethnicity;;African_american|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue
SRR8616029	SNU-668	metastasis	Asian	carcinoma (signet_ring_adenocarcinoma)	age;;63|biomaterial_provider;;KCLB:SNU-668|BioSampleModel;;Human|cell_line;;SNU-668|disease;;carcinoma (signet_ring_adenocarcinoma)|disease_stage;;metastasis|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;stomach	stomach
SRR8616030	SNU-738	primary	Asian	glioma (oligodendroglioma)	age;;40|biomaterial_provider;;KCLB:SNU-738|BioSampleModel;;Human|cell_line;;SNU-738|disease;;glioma (oligodendroglioma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;central_nervous_system	central_nervous_system
SRR8616031	SNU-719	primary	Asian	carcinoma	age;;53|biomaterial_provider;;KCLB:SNU-719|BioSampleModel;;Human|cell_line;;SNU-719|disease;;carcinoma|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;stomach	stomach
SRR8616032	HT-29	primary	Caucasian	carcinoma (adenocarcinoma)	age;;44|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;HT-29|disease;;carcinoma (adenocarcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;large_intestine	large_intestine
SRR8616033	HT55	primary	Caucasian	carcinoma (adenocarcinoma)	age;;NA|biomaterial_provider;;ECACC:HT55|BioSampleModel;;Human|cell_line;;HT55|disease;;carcinoma (adenocarcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;NA|tissue;;large_intestine	large_intestine
SRR8616034	KYSE-150	primary	Asian	carcinoma (squamous_cell_carcinoma)	age;;49|biomaterial_provider;;DSMZ:KYSE-150|BioSampleModel;;Human|cell_line;;KYSE-150|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;oesophagus	oesophagus
SRR8616035	KYSE-140	primary	Asian	carcinoma (squamous_cell_carcinoma)	age;;54|biomaterial_provider;;DSMZ:KYSE-140|BioSampleModel;;Human|cell_line;;KYSE-140|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;oesophagus	oesophagus
SRR8616036	KYSE-270	primary	Asian	carcinoma (squamous_cell_carcinoma)	age;;79|biomaterial_provider;;DSMZ:KYSE-270|BioSampleModel;;Human|cell_line;;KYSE-270|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;oesophagus	oesophagus
SRR8616037	KYSE-180	primary	Asian	carcinoma (squamous_cell_carcinoma)	age;;53|biomaterial_provider;;DSMZ:KYSE-180|BioSampleModel;;Human|cell_line;;KYSE-180|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;oesophagus	oesophagus
SRR8616038	KYSE-410	primary	Asian	carcinoma (squamous_cell_carcinoma)	age;;51|biomaterial_provider;;DSMZ:KYSE-410|BioSampleModel;;Human|cell_line;;KYSE-410|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;oesophagus	oesophagus
SRR8616039	KYSE-30	primary	Asian	carcinoma (squamous_cell_carcinoma)	age;;64|biomaterial_provider;;GNF|BioSampleModel;;Human|cell_line;;KYSE-30|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;oesophagus	oesophagus
SRR8616040	HSC-2	primary	Asian	carcinoma (squamous_cell_carcinoma)	age;;69|biomaterial_provider;;HSSRB|BioSampleModel;;Human|cell_line;;HSC-2|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;upper_aerodigestive_tract	upper_aerodigestive_tract
SRR8616041	HSC-3	metastasis	Asian	carcinoma (squamous_cell_carcinoma)	age;;64|biomaterial_provider;;HSSRB|BioSampleModel;;Human|cell_line;;HSC-3|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;metastasis|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;upper_aerodigestive_tract	upper_aerodigestive_tract
SRR8616042	HSC-4	primary	Asian	carcinoma (squamous_cell_carcinoma)	age;;64|biomaterial_provider;;HSSRB|BioSampleModel;;Human|cell_line;;HSC-4|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;upper_aerodigestive_tract	upper_aerodigestive_tract
SRR8616043	HT-1080	metastasis	Caucasian	fibrosarcoma	age;;35|biomaterial_provider;;ATCC:HT-1080|BioSampleModel;;Human|cell_line;;HT-1080|disease;;fibrosarcoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;soft_tissue	soft_tissue
SRR8616044	HT115	primary	Caucasian	carcinoma	age;;NA|biomaterial_provider;;ECACC:HT115|BioSampleModel;;Human|cell_line;;HT115|disease;;carcinoma|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;NA|tissue;;large_intestine	large_intestine
SRR8616045	HT-1197	primary	Caucasian	carcinoma	age;;44|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;HT-1197|disease;;carcinoma|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;urinary_tract	urinary_tract
SRR8616046	HT-1376	primary	Caucasian	carcinoma (transitional_cell_carcinoma)	age;;58|biomaterial_provider;;NA|BioSampleModel;;Human|cell_line;;HT-1376|disease;;carcinoma (transitional_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;urinary_tract	urinary_tract
SRR8616047	HT-144	metastasis	Caucasian	malignant_melanoma	age;;29|biomaterial_provider;;NA|BioSampleModel;;Human|cell_line;;HT-144|disease;;malignant_melanoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;skin	skin
SRR8616048	SK-MEL-1	metastasis	Caucasian	malignant_melanoma	age;;29|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;SK-MEL-1|disease;;malignant_melanoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;skin	skin
SRR8616049	SK-MEL-24	metastasis	Caucasian	malignant_melanoma	age;;67|biomaterial_provider;;ATCC:SK-MEL-24|BioSampleModel;;Human|cell_line;;SK-MEL-24|disease;;malignant_melanoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;skin	skin
SRR8616050	SK-LU-1	primary	Caucasian	carcinoma (adenocarcinoma)	age;;60|biomaterial_provider;;ATCC:SK-LU-1|BioSampleModel;;Human|cell_line;;SK-LU-1|disease;;carcinoma (adenocarcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;lung	lung
SRR8616051	SKM-1	primary	Asian	"haematopoietic_neoplasm (acute_myeloid_leukaemia, M5)"	"age;;76|biomaterial_provider;;HSRRB|BioSampleModel;;Human|cell_line;;SKM-1|disease;;haematopoietic_neoplasm (acute_myeloid_leukaemia, M5)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;haematopoietic_and_lymphoid_tissue"	haematopoietic_and_lymphoid_tissue
SRR8616052	SK-MEL-31	primary	Caucasian	malignant_melanoma	age;;NA|biomaterial_provider;;ATCC:SK-MEL-31|BioSampleModel;;Human|cell_line;;SK-MEL-31|disease;;malignant_melanoma|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;skin	skin
SRR8616053	SK-MEL-3	metastasis	Caucasian	malignant_melanoma	age;;42|biomaterial_provider;;NA|BioSampleModel;;Human|cell_line;;SK-MEL-3|disease;;malignant_melanoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;skin	skin
SRR8616054	SK-MEL-28	primary	Caucasian	malignant_melanoma	age;;51|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;SK-MEL-28|disease;;malignant_melanoma|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;skin	skin
SRR8616055	SK-MEL-30	metastasis	Caucasian	malignant_melanoma	age;;67|biomaterial_provider;;DSMZ:SK-MEL-30|BioSampleModel;;Human|cell_line;;SK-MEL-30|disease;;malignant_melanoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;skin	skin
SRR8616056	SK-MEL-5	metastasis	Caucasian	malignant_melanoma	age;;24|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;SK-MEL-5|disease;;malignant_melanoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;skin	skin
SRR8616057	SK-MES-1	metastasis	Caucasian	carcinoma (squamous_cell_carcinoma)	age;;65|biomaterial_provider;;NA|BioSampleModel;;Human|cell_line;;SK-MES-1|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;lung	lung
SRR8616058	SW403	primary	Caucasian	carcinoma (adenocarcinoma)	age;;51|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;SW403|disease;;carcinoma (adenocarcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;large_intestine	large_intestine
SRR8616059	SW480	primary	Caucasian	carcinoma (adenocarcinoma)	age;;50|biomaterial_provider;;ATCC:SW480|BioSampleModel;;Human|cell_line;;SW480|disease;;carcinoma (adenocarcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;large_intestine	large_intestine
SRR8616060	MOLT-16	primary	African_american	lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia)	age;;5|biomaterial_provider;;DSMZ:MOLT-16|BioSampleModel;;Human|cell_line;;MOLT-16|disease;;lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia)|disease_stage;;primary|ethnicity;;African_american|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue
SRR8616061	MOLT-13	primary	Caucasian	"lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia, L2)"	"age;;2|biomaterial_provider;;DSMZ:MOLT-13|BioSampleModel;;Human|cell_line;;MOLT-13|disease;;lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia, L2)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;haematopoietic_and_lymphoid_tissue"	haematopoietic_and_lymphoid_tissue
SRR8616062	NCI-H1623	metastasis	Caucasian	carcinoma (adenocarcinoma)	age;;58|biomaterial_provider;;ATCC:NCI-H1623|BioSampleModel;;Human|cell_line;;NCI-H1623|disease;;carcinoma (adenocarcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;lung	lung
